"Chr","KRAB_ZNFs","TEs","distance","pos_or_neg"
"217","12","ZNF140","L1MA3",88912415,"neg"
"218","12","ZNF140","L1MA3",88826540,"neg"
"219","12","ZNF140","MLT1J1-int",88770056,"neg"
"220","12","ZNF140","MLT1J1-int",88769391,"neg"
"221","12","ZNF140","L1MA3",88434380,"neg"
"222","12","ZNF140","L1MA3",87430931,"neg"
"223","12","ZNF140","L1MA3",87121903,"neg"
"224","12","ZNF140","L1MA3",87119821,"neg"
"225","12","ZNF140","L1MA3",87119320,"neg"
"226","12","ZNF140","L1MA3",86927069,"neg"
"227","12","ZNF140","L1MA3",86924846,"neg"
"228","12","ZNF140","L1MA3",86924241,"neg"
"229","12","ZNF140","L1MA3",86923109,"neg"
"230","12","ZNF140","L1MA3",86918772,"neg"
"231","12","ZNF140","L1MA3",86347524,"neg"
"232","12","ZNF140","L1MA3",85971316,"neg"
"233","12","ZNF140","L1MA3",84748741,"neg"
"234","12","ZNF140","L1MA3",84747190,"neg"
"235","12","ZNF140","L1MA3",83750215,"neg"
"236","12","ZNF140","L1MA3",83412561,"neg"
"237","12","ZNF140","L1MA3",83406466,"neg"
"238","12","ZNF140","L1MA3",83405105,"neg"
"239","12","ZNF140","L1MA3",82970069,"neg"
"240","12","ZNF140","L1MA3",128548221,"neg"
"241","12","ZNF140","L1MA3",82446589,"neg"
"242","12","ZNF140","L1MA3",82446038,"neg"
"243","12","ZNF140","L1MA3",82258503,"neg"
"244","12","ZNF140","L1MA3",80294149,"neg"
"245","12","ZNF140","L1MA3",78063206,"neg"
"246","12","ZNF140","L1MA3",78062714,"neg"
"247","12","ZNF140","L1MA3",78061384,"neg"
"248","12","ZNF140","L1MA3",78058185,"neg"
"249","12","ZNF140","L1MA3",77891324,"neg"
"250","12","ZNF140","L1MA3",75296263,"neg"
"251","12","ZNF140","L1MA3",74638893,"neg"
"252","12","ZNF140","L1MA3",74290149,"neg"
"253","12","ZNF140","L1MA3",74288185,"neg"
"254","12","ZNF140","L1MA3",73824485,"neg"
"255","12","ZNF140","L1MA3",73822876,"neg"
"256","12","ZNF140","L1MA3",73821513,"neg"
"257","12","ZNF140","L1MA3",73818539,"neg"
"258","12","ZNF140","L1MA3",73815640,"neg"
"259","12","ZNF140","L1MA3",73753065,"neg"
"260","12","ZNF140","L1MA3",73751265,"neg"
"261","12","ZNF140","L1MA3",73329072,"neg"
"262","12","ZNF140","L1MA3",73326873,"neg"
"263","12","ZNF140","L1MA3",72435784,"neg"
"264","12","ZNF140","Eulor9A",72222626,"neg"
"265","12","ZNF140","L1MA3",71775195,"neg"
"266","12","ZNF140","Eulor9A",71368217,"neg"
"267","12","ZNF140","L1MA3",71343907,"neg"
"268","12","ZNF140","L1MA3",70885389,"neg"
"269","12","ZNF140","L1MA3",70746222,"neg"
"270","12","ZNF140","L1MA3",70745756,"neg"
"271","12","ZNF140","HERVL18-int",69864530,"pos"
"272","12","ZNF140","HERVL18-int",69864273,"pos"
"273","12","ZNF140","HERVL18-int",69863558,"pos"
"274","12","ZNF140","HERVL18-int",69862791,"pos"
"275","12","ZNF140","HERVL18-int",69862615,"pos"
"276","12","ZNF140","HERVL18-int",69862480,"pos"
"277","12","ZNF140","HERVL18-int",69862378,"pos"
"278","12","ZNF140","L1MA3",69690575,"neg"
"279","12","ZNF140","L1MA3",69684033,"neg"
"280","12","ZNF140","L1MA3",69485946,"neg"
"281","12","ZNF140","L1MA3",69485450,"neg"
"282","12","ZNF140","L1MA3",69406791,"neg"
"283","12","ZNF140","L1MA3",69213369,"neg"
"284","12","ZNF140","L1MA3",69212246,"neg"
"285","12","ZNF140","L1MA3",69166748,"neg"
"286","12","ZNF140","L1MA3",68590431,"neg"
"287","12","ZNF140","L1MA3",68417293,"neg"
"288","12","ZNF140","L1MA3",68415599,"neg"
"289","12","ZNF140","L1MA3",68414368,"neg"
"290","12","ZNF140","L1MA3",68408160,"neg"
"291","12","ZNF140","L1MA3",68406694,"neg"
"292","12","ZNF140","L1MA3",68404439,"neg"
"293","12","ZNF140","L1MA3",67920939,"neg"
"294","12","ZNF140","L1MA3",67538529,"neg"
"295","12","ZNF140","L1MA3",67365345,"neg"
"296","12","ZNF140","L1MA3",66704484,"neg"
"297","12","ZNF140","L1MA3",66701161,"neg"
"298","12","ZNF140","L1MA3",66640075,"neg"
"299","12","ZNF140","L1MA3",66504781,"neg"
"300","12","ZNF140","L1MA3",64168240,"neg"
"301","12","ZNF140","L1MA3",63890107,"neg"
"302","12","ZNF140","L1MA3",63888235,"neg"
"303","12","ZNF140","L1MA3",63886560,"neg"
"304","12","ZNF140","L1MA3",63886218,"neg"
"305","12","ZNF140","L1MA3",63885208,"neg"
"306","12","ZNF140","L1MA3",63883224,"neg"
"307","12","ZNF140","L1MA3",63881976,"neg"
"308","12","ZNF140","L1MA3",63879941,"neg"
"309","12","ZNF140","L1MA3",61146788,"neg"
"310","12","ZNF140","L1MA3",61142596,"neg"
"311","12","ZNF140","L1MA3",61141970,"neg"
"312","12","ZNF140","L1MA3",61141400,"neg"
"313","12","ZNF140","L1MA3",61140823,"neg"
"314","12","ZNF140","L1MA3",60330937,"neg"
"315","12","ZNF140","L1MA3",60325236,"neg"
"316","12","ZNF140","L1MA3",60324338,"neg"
"317","12","ZNF140","L1MA3",60321899,"neg"
"318","12","ZNF140","L1MA3",60320205,"neg"
"319","12","ZNF140","L1MA3",60316897,"neg"
"320","12","ZNF140","L1MA3",60315421,"neg"
"321","12","ZNF140","L1MA3",126284287,"neg"
"322","12","ZNF140","L1MA3",59529176,"neg"
"323","12","ZNF140","L1MA3",59310756,"neg"
"324","12","ZNF140","LTR10B",58576903,"neg"
"325","12","ZNF140","Eulor9A",58362172,"neg"
"326","12","ZNF140","L1MA3",57641873,"neg"
"327","12","ZNF140","L1MA3",126033250,"neg"
"328","12","ZNF140","L1MA3",125953301,"neg"
"329","12","ZNF140","L1MA3",56398018,"neg"
"330","12","ZNF140","L1MA3",56050230,"neg"
"331","12","ZNF140","L1MA3",55810224,"neg"
"332","12","ZNF140","L1MA3",55807856,"neg"
"333","12","ZNF140","L1MA3",55807233,"neg"
"334","12","ZNF140","L1MA3",55429822,"neg"
"335","12","ZNF140","L1MA3",54830158,"neg"
"336","12","ZNF140","L1MA3",54829812,"neg"
"337","12","ZNF140","L1MA3",54826722,"neg"
"338","12","ZNF140","L1MA3",54822243,"neg"
"339","12","ZNF140","LTR10B",54785353,"neg"
"340","12","ZNF140","LTR10B",54777237,"neg"
"341","12","ZNF140","L1MA3",54513698,"neg"
"342","12","ZNF140","L1MA3",52708285,"neg"
"343","12","ZNF140","L1MA3",125495981,"neg"
"344","12","ZNF140","L1MA3",125495495,"neg"
"345","12","ZNF140","L1MA3",125495325,"neg"
"346","12","ZNF140","L1MA3",125495299,"neg"
"347","12","ZNF140","L1MA3",50935162,"neg"
"348","12","ZNF140","L1MA3",49966877,"neg"
"349","12","ZNF140","L1MA3",49569052,"neg"
"350","12","ZNF140","L1MA3",49561656,"neg"
"351","12","ZNF140","L1MA3",49559370,"neg"
"352","12","ZNF140","L1MA3",49257948,"neg"
"353","12","ZNF140","L1MA3",49256838,"neg"
"354","12","ZNF140","L1MA3",49248196,"neg"
"355","12","ZNF140","L1MA3",49247722,"neg"
"356","12","ZNF140","HERVL18-int",48903908,"pos"
"357","12","ZNF140","HERVL18-int",48903516,"pos"
"358","12","ZNF140","L1MA3",48453929,"neg"
"359","12","ZNF140","L1MA3",48197695,"neg"
"360","12","ZNF140","L1MA3",47749319,"neg"
"361","12","ZNF140","L1MA3",47434133,"neg"
"362","12","ZNF140","L1MA3",47423472,"neg"
"363","12","ZNF140","L1MA3",47367960,"neg"
"364","12","ZNF140","L1MA3",47351920,"neg"
"365","12","ZNF140","L1MA3",47349607,"neg"
"366","12","ZNF140","L1MA3",46984468,"neg"
"367","12","ZNF140","L1MA3",46982288,"neg"
"368","12","ZNF140","L1MA3",46533281,"neg"
"369","12","ZNF140","L1MA3",46387144,"neg"
"370","12","ZNF140","L1MA3",46386146,"neg"
"371","12","ZNF140","L1MA3",46385984,"neg"
"372","12","ZNF140","L1MA3",46385463,"neg"
"373","12","ZNF140","L1MA3",46055598,"neg"
"374","12","ZNF140","L1MA3",46053259,"neg"
"375","12","ZNF140","L1MA3",46052663,"neg"
"376","12","ZNF140","L1MA3",45719126,"neg"
"377","12","ZNF140","L1MA3",45714438,"neg"
"378","12","ZNF140","L1MA3",45710834,"neg"
"379","12","ZNF140","L1MA3",45710203,"neg"
"380","12","ZNF140","L1MA3",44897163,"neg"
"381","12","ZNF140","L1MA3",124677380,"neg"
"382","12","ZNF140","L1MA3",124676769,"neg"
"383","12","ZNF140","L1MA3",124676360,"neg"
"384","12","ZNF140","L1MA3",124674584,"neg"
"385","12","ZNF140","L1MA3",43524492,"neg"
"386","12","ZNF140","L1MA3",43519310,"neg"
"387","12","ZNF140","L1MA3",43518775,"neg"
"388","12","ZNF140","L1MA3",43226806,"neg"
"389","12","ZNF140","L1MA3",42966483,"neg"
"390","12","ZNF140","L1MA3",42890608,"neg"
"391","12","ZNF140","L1MA3",42887668,"neg"
"392","12","ZNF140","L1MA3",42887529,"neg"
"393","12","ZNF140","L1MA3",42693377,"neg"
"394","12","ZNF140","L1MA3",42692481,"neg"
"395","12","ZNF140","L1MA3",42686023,"neg"
"396","12","ZNF140","L1MA3",42685912,"neg"
"397","12","ZNF140","L1MA3",42388994,"neg"
"398","12","ZNF140","L1MA3",42226366,"neg"
"399","12","ZNF140","L1MA3",124490352,"neg"
"400","12","ZNF140","L1MA3",124487212,"neg"
"401","12","ZNF140","L1MA3",124486805,"neg"
"402","12","ZNF140","L1MA3",124485227,"neg"
"403","12","ZNF140","L1MA3",124484220,"neg"
"404","12","ZNF140","L1MA3",41871717,"neg"
"405","12","ZNF140","L1MA3",41869982,"neg"
"406","12","ZNF140","L1MA3",41402033,"neg"
"407","12","ZNF140","L1MA3",124393114,"neg"
"408","12","ZNF140","L1MA3",40747370,"neg"
"409","12","ZNF140","L1MA3",40136680,"neg"
"410","12","ZNF140","L1MA3",40136152,"neg"
"411","12","ZNF140","L1MA3",39963833,"neg"
"412","12","ZNF140","L1MA3",39816288,"neg"
"413","12","ZNF140","L1MA3",39239001,"neg"
"414","12","ZNF140","MLT1J1-int",39227956,"neg"
"415","12","ZNF140","L1MA3",39198397,"neg"
"416","12","ZNF140","L1MA3",38349031,"neg"
"417","12","ZNF140","L1MA3",38093322,"neg"
"418","12","ZNF140","L1MA3",37666637,"neg"
"419","12","ZNF140","L1MA3",37310097,"neg"
"420","12","ZNF140","L1MA3",35122681,"neg"
"421","12","ZNF140","MLT1J1-int",35076035,"neg"
"422","12","ZNF140","HERVL18-int",34841616,"pos"
"423","12","ZNF140","HERVL18-int",34839018,"pos"
"424","12","ZNF140","L1MA3",34303016,"neg"
"425","12","ZNF140","L1MA3",34300258,"neg"
"426","12","ZNF140","L1MA3",34299482,"neg"
"427","12","ZNF140","L1MA3",34298829,"neg"
"428","12","ZNF140","L1MA3",34297535,"neg"
"429","12","ZNF140","L1MA3",34080655,"neg"
"430","12","ZNF140","L1MA3",34079532,"neg"
"431","12","ZNF140","L1MA3",33986944,"neg"
"432","12","ZNF140","L1MA3",33967989,"neg"
"433","12","ZNF140","L1MA3",33967550,"neg"
"434","12","ZNF140","L1MA3",33925910,"neg"
"435","12","ZNF140","L1MA3",33923033,"neg"
"436","12","ZNF140","L1MA3",33852988,"neg"
"437","7","ZNF746","AluSq2",46099060,"neg"
"438","7","ZNF746","AluSq2",46014773,"neg"
"439","7","ZNF746","UCON6",45981460,"neg"
"440","7","ZNF746","AluSq2",45904716,"neg"
"441","7","ZNF746","AluSq2",45732034,"neg"
"442","7","ZNF746","MER125",45708667,"neg"
"443","7","ZNF746","MER58C",45679566,"neg"
"444","7","ZNF746","AluSq2",45590190,"neg"
"445","7","ZNF746","AluSq2",45462991,"neg"
"446","7","ZNF746","AluSq2",45346296,"neg"
"447","7","ZNF746","AluSq2",45271524,"neg"
"448","7","ZNF746","AluSq2",45242678,"neg"
"449","7","ZNF746","AluSq2",45190170,"neg"
"450","7","ZNF746","MER127",45162325,"neg"
"451","7","ZNF746","AluSq2",45129304,"neg"
"452","7","ZNF746","AluSq2",45121760,"neg"
"453","7","ZNF746","AluSq2",45119005,"neg"
"454","7","ZNF746","UCON6",45104969,"neg"
"455","7","ZNF746","AluSq2",45099823,"neg"
"456","7","ZNF746","AluSq2",45011633,"neg"
"457","7","ZNF746","UCON6",44997940,"neg"
"458","7","ZNF746","MER58C",44875809,"neg"
"459","7","ZNF746","AluSq2",44736243,"neg"
"460","7","ZNF746","AluSq2",138717999,"neg"
"461","7","ZNF746","AluSq2",44604617,"neg"
"462","7","ZNF746","AluSq2",44576591,"neg"
"463","7","ZNF746","AluSq2",44498083,"neg"
"464","7","ZNF746","AluSq2",44479522,"neg"
"465","7","ZNF746","AluSq2",44474624,"neg"
"466","7","ZNF746","AluSq2",44450003,"neg"
"467","7","ZNF746","AluSq2",44435739,"neg"
"468","7","ZNF746","AluSq2",44374157,"neg"
"469","7","ZNF746","AluSq2",44332369,"neg"
"470","7","ZNF746","AluSq2",44279070,"neg"
"471","7","ZNF746","AluSq2",44258730,"neg"
"472","7","ZNF746","AluSq2",44217906,"neg"
"473","7","ZNF746","AluSq2",44213225,"neg"
"474","7","ZNF746","AluSq2",44213175,"neg"
"475","7","ZNF746","AluSq2",44202352,"neg"
"476","7","ZNF746","AluSq2",44185375,"neg"
"477","7","ZNF746","AluSq2",44184304,"neg"
"478","7","ZNF746","AluSq2",44177605,"neg"
"479","7","ZNF746","AluSq2",44171654,"neg"
"480","7","ZNF746","AluSq2",44163929,"neg"
"481","7","ZNF746","AluSq2",44156341,"neg"
"482","7","ZNF746","AluSq2",44142714,"neg"
"483","7","ZNF746","AluSq2",44130830,"neg"
"484","7","ZNF746","MER58C",44112438,"neg"
"485","7","ZNF746","AluSq2",44111935,"neg"
"486","7","ZNF746","AluSq2",44066982,"neg"
"487","7","ZNF746","AluSq2",44057510,"neg"
"488","7","ZNF746","AluSq2",44033266,"neg"
"489","7","ZNF746","AluSq2",44012686,"neg"
"490","7","ZNF746","AluSq2",43992009,"neg"
"491","7","ZNF746","AluSq2",43991597,"neg"
"492","7","ZNF746","AluSq2",43985311,"neg"
"493","7","ZNF746","AluSq2",43979790,"neg"
"494","7","ZNF746","AluSq2",43976021,"neg"
"495","7","ZNF746","AluSq2",43975729,"neg"
"496","7","ZNF746","AluSq2",43973073,"neg"
"497","7","ZNF746","AluSq2",43971125,"neg"
"498","7","ZNF746","AluSq2",43967577,"neg"
"499","7","ZNF746","AluSq2",43954306,"neg"
"500","7","ZNF746","AluSq2",43948228,"neg"
"501","7","ZNF746","AluSq2",43945617,"neg"
"502","7","ZNF746","AluSq2",43944553,"neg"
"503","7","ZNF746","AluSq2",43941460,"neg"
"504","7","ZNF746","AluSq2",43842898,"neg"
"505","7","ZNF746","AluSq2",43834322,"neg"
"506","7","ZNF746","AluSq2",43801744,"neg"
"507","7","ZNF746","AluSq2",43797707,"neg"
"508","7","ZNF746","UCON6",43720973,"neg"
"509","7","ZNF746","AluSq2",43672833,"neg"
"510","7","ZNF746","AluSq2",43657713,"neg"
"511","7","ZNF746","AluSq2",43494335,"neg"
"512","7","ZNF746","AluSq2",43456180,"neg"
"513","7","ZNF746","AluSq2",43440581,"neg"
"514","7","ZNF746","AluSq2",43401876,"neg"
"515","7","ZNF746","AluSq2",43382839,"neg"
"516","7","ZNF746","AluSq2",43381487,"neg"
"517","7","ZNF746","MER58C",43304291,"neg"
"518","7","ZNF746","MER58C",43183077,"neg"
"519","7","ZNF746","AluSq2",43120778,"neg"
"520","7","ZNF746","LTR88c",43104750,"neg"
"521","7","ZNF746","AluSq2",43082298,"neg"
"522","7","ZNF746","MLT1N2-int",42981451,"neg"
"523","7","ZNF746","AluSq2",42949976,"neg"
"524","7","ZNF746","AluSq2",42938226,"neg"
"525","7","ZNF746","AluSq2",42879803,"neg"
"526","7","ZNF746","AluSq2",42719380,"neg"
"527","7","ZNF746","AluSq2",42673748,"neg"
"528","7","ZNF746","AluSq2",138516202,"neg"
"529","7","ZNF746","AluSq2",42613936,"neg"
"530","7","ZNF746","AluSq2",42520862,"neg"
"531","7","ZNF746","MER58C",42513110,"neg"
"532","7","ZNF746","AluSq2",42485994,"neg"
"533","7","ZNF746","MER58C",42481989,"neg"
"534","7","ZNF746","AluSq2",42387718,"neg"
"535","7","ZNF746","AluSq2",42383407,"neg"
